id,date_time,not_rain_pxl,sequence,rain_category
2455220,2024-10-26 14:00:00,195786,0,0
2455200,2024-10-26 13:50:00,195662,0,0
2455180,2024-10-26 13:40:00,195610,0,0
2455162,2024-10-26 13:30:00,195463,0,0
2455140,2024-10-26 13:20:00,195425,0,0
2455120,2024-10-26 13:10:00,195518,0,0
2455080,2024-10-26 13:00:00,195536,0,0
2455060,2024-10-26 12:50:00,195138,0,0
2455040,2024-10-26 12:40:00,194505,0,1
2455020,2024-10-26 12:30:00,194766,0,1
2455002,2024-10-26 12:20:00,194610,0,1
2454980,2024-10-26 12:10:00,194385,0,1
2454940,2024-10-26 12:00:00,194176,0,1
2454920,2024-10-26 11:50:00,194058,0,1
2454900,2024-10-26 11:40:00,193742,0,1
2454880,2024-10-26 11:30:00,193481,0,1
2454862,2024-10-26 11:20:00,192477,0,2
2454840,2024-10-26 11:10:00,191418,0,2
2454800,2024-10-26 11:00:00,191012,0,2
2454780,2024-10-26 10:50:00,190491,0,2
2454762,2024-10-26 10:40:00,190486,0,2
2454742,2024-10-26 10:30:00,190310,0,2
2454722,2024-10-26 10:20:00,190703,0,2
2454700,2024-10-26 10:10:00,190825,0,2
2454660,2024-10-26 10:00:00,190442,0,2
2454640,2024-10-26 09:50:00,190415,0,2
2454620,2024-10-26 09:40:00,190038,0,2
2454600,2024-10-26 09:30:00,189936,0,2
2454580,2024-10-26 09:20:00,189880,0,2
2454560,2024-10-26 09:10:00,189835,0,2
2454520,2024-10-26 09:00:00,189480,0,2
2454502,2024-10-26 08:50:00,189905,0,2
2454482,2024-10-26 08:40:00,190301,0,2
2454462,2024-10-26 08:30:00,190613,0,2
2454442,2024-10-26 08:20:00,191254,0,2
2454420,2024-10-26 08:10:00,191779,0,2
2454380,2024-10-26 08:00:00,192184,0,2
2454362,2024-10-26 07:50:00,192881,0,2
2454340,2024-10-26 07:40:00,193876,0,1
2454320,2024-10-26 07:30:00,194387,0,1
2454302,2024-10-26 07:20:00,194628,0,1
2454282,2024-10-26 07:10:00,194540,0,1
2454240,2024-10-26 07:00:00,194277,0,1
2454222,2024-10-26 06:50:00,194057,0,1
2454202,2024-10-26 06:40:00,193804,0,1
2454182,2024-10-26 06:30:00,193478,0,1
2454160,2024-10-26 06:20:00,193287,0,1
2454140,2024-10-26 06:10:00,193356,0,1
2454100,2024-10-26 06:00:00,193261,0,1
2454080,2024-10-26 05:50:00,192973,0,2
2454060,2024-10-26 05:40:00,192367,0,2
2454042,2024-10-26 05:30:00,191684,0,2
2454022,2024-10-26 05:20:00,191348,0,2
2453997,2024-10-26 05:10:00,190606,0,2
2453960,2024-10-26 05:00:00,189860,0,2
2453940,2024-10-26 04:50:00,189649,0,2
2453920,2024-10-26 04:40:00,189364,0,2
2453900,2024-10-26 04:30:00,189229,0,2
2453880,2024-10-26 04:20:00,189152,0,2
2453860,2024-10-26 04:10:00,188101,0,2
2453820,2024-10-26 04:00:00,186615,0,3
2453802,2024-10-26 03:50:00,184255,0,3
2453780,2024-10-26 03:40:00,181968,0,3
2453757,2024-10-26 03:30:00,180144,0,3
2453737,2024-10-26 03:20:00,178662,0,3
2453720,2024-10-26 03:10:00,178122,0,3
2453680,2024-10-26 03:00:00,178205,0,3
2453660,2024-10-26 02:50:00,178062,0,3
2453640,2024-10-26 02:40:00,178084,0,3
2453622,2024-10-26 02:30:00,177967,0,3
2453600,2024-10-26 02:20:00,177185,0,3
2453580,2024-10-26 02:10:00,176437,0,3
2453540,2024-10-26 02:00:00,175594,0,3
2453520,2024-10-26 01:50:00,176559,0,3
2453500,2024-10-26 01:40:00,176085,0,3
2453480,2024-10-26 01:30:00,175438,0,3
2453460,2024-10-26 01:20:00,175715,0,3
2453440,2024-10-26 01:10:00,175582,0,3
2453400,2024-10-26 01:00:00,175075,0,3
2453380,2024-10-26 00:50:00,174361,0,3
2453360,2024-10-26 00:40:00,174163,0,3
2453340,2024-10-26 00:30:00,175116,0,3
2453320,2024-10-26 00:20:00,175813,0,3
2453267,2024-10-25 23:50:00,179008,1,3
2453247,2024-10-25 23:40:00,180188,1,3
2453227,2024-10-25 23:30:00,181534,1,3
2453209,2024-10-25 23:20:00,181963,1,3
2453187,2024-10-25 23:10:00,182423,1,3
2453147,2024-10-25 23:00:00,183436,1,3
2453127,2024-10-25 22:50:00,184081,1,3
2453107,2024-10-25 22:40:00,184159,1,3
2453087,2024-10-25 22:30:00,184829,1,3
2453067,2024-10-25 22:20:00,186475,1,3
2453047,2024-10-25 22:10:00,188039,1,2
2453007,2024-10-25 22:00:00,188866,1,2
2452987,2024-10-25 21:50:00,189379,1,2
2452967,2024-10-25 21:40:00,190191,1,2
2452949,2024-10-25 21:30:00,191300,1,2
2452927,2024-10-25 21:20:00,192428,1,2
2452907,2024-10-25 21:10:00,193569,1,1
2452867,2024-10-25 21:00:00,194712,1,1
2452847,2024-10-25 20:50:00,194931,1,1
2452827,2024-10-25 20:40:00,195207,1,0
2452684,2024-10-25 18:30:00,196157,2,0
2452667,2024-10-25 18:20:00,196113,2,0
2452647,2024-10-25 18:10:00,195850,2,0
2452607,2024-10-25 18:00:00,195539,2,0
2452589,2024-10-25 17:50:00,195258,2,0
2452569,2024-10-25 17:40:00,195043,2,1
2452549,2024-10-25 17:30:00,194767,2,1
2452527,2024-10-25 17:20:00,194523,2,1
2452507,2024-10-25 17:10:00,194614,2,1
2452467,2024-10-25 17:00:00,194727,2,1
2452447,2024-10-25 16:50:00,194760,2,1
2452429,2024-10-25 16:40:00,194858,2,1
2452407,2024-10-25 16:30:00,194554,2,1
2452387,2024-10-25 16:20:00,193952,2,1
2452367,2024-10-25 16:10:00,193552,2,1
2452327,2024-10-25 16:00:00,193024,2,2
2452309,2024-10-25 15:50:00,192601,2,2
2452289,2024-10-25 15:40:00,192438,2,2
2452267,2024-10-25 15:30:00,192491,2,2
2452247,2024-10-25 15:20:00,192431,2,2
2452227,2024-10-25 15:10:00,192172,2,2
2452184,2024-10-25 15:00:00,192369,2,2
2452167,2024-10-25 14:50:00,192387,2,2
2452147,2024-10-25 14:40:00,192121,2,2
2452129,2024-10-25 14:30:00,191147,2,2
2452109,2024-10-25 14:20:00,190595,2,2
2452087,2024-10-25 14:10:00,190633,2,2
2452047,2024-10-25 14:00:00,191011,2,2
2452027,2024-10-25 13:50:00,191378,2,2
2452007,2024-10-25 13:40:00,191700,2,2
2451987,2024-10-25 13:30:00,191764,2,2
2451969,2024-10-25 13:20:00,191470,2,2
2451949,2024-10-25 13:10:00,191005,2,2
2451907,2024-10-25 13:00:00,190238,2,2
2451889,2024-10-25 12:50:00,190507,2,2
2451867,2024-10-25 12:40:00,191000,2,2
2451849,2024-10-25 12:30:00,191744,2,2
2451827,2024-10-25 12:20:00,192284,2,2
2451809,2024-10-25 12:10:00,192724,2,2
2451769,2024-10-25 12:00:00,192720,2,2
2451747,2024-10-25 11:50:00,192831,2,2
2451729,2024-10-25 11:40:00,192825,2,2
2451709,2024-10-25 11:30:00,192931,2,2
2451689,2024-10-25 11:20:00,192781,2,2
2451669,2024-10-25 11:10:00,193046,2,2
2451627,2024-10-25 11:00:00,193246,2,1
2451607,2024-10-25 10:50:00,193448,2,1
2451587,2024-10-25 10:40:00,193797,2,1
2451567,2024-10-25 10:30:00,194222,2,1
2451547,2024-10-25 10:20:00,193984,2,1
2451527,2024-10-25 10:10:00,194527,2,1
2451487,2024-10-25 10:00:00,194911,2,1
2451467,2024-10-25 09:50:00,195236,2,0
2451449,2024-10-25 09:40:00,195524,2,0
2451427,2024-10-25 09:30:00,195463,2,0
2451407,2024-10-25 09:20:00,195292,2,0
2451387,2024-10-25 09:10:00,195253,2,0
2450674,2024-10-24 23:50:00,194293,3,1
2450654,2024-10-24 23:40:00,194231,3,1
2450634,2024-10-24 23:30:00,193942,3,1
2450616,2024-10-24 23:20:00,193746,3,1
2450594,2024-10-24 23:10:00,193575,3,1
2450554,2024-10-24 23:00:00,193439,3,1
2450534,2024-10-24 22:50:00,193086,3,2
2450516,2024-10-24 22:40:00,192755,3,2
2450494,2024-10-24 22:30:00,192541,3,2
2450474,2024-10-24 22:20:00,191957,3,2
2450456,2024-10-24 22:10:00,191367,3,2
2450414,2024-10-24 22:00:00,190638,3,2
2450396,2024-10-24 21:50:00,189907,3,2
2450376,2024-10-24 21:40:00,189615,3,2
2450354,2024-10-24 21:30:00,189205,3,2
2450334,2024-10-24 21:20:00,189333,3,2
2450316,2024-10-24 21:10:00,189771,3,2
2450274,2024-10-24 21:00:00,190067,3,2
2450254,2024-10-24 20:50:00,190440,3,2
