id,date_time,not_rain_pxl
2457769,2024-10-28 09:10:00,196104
2455220,2024-10-26 14:00:00,195786
2455200,2024-10-26 13:50:00,195662
2455180,2024-10-26 13:40:00,195610
2455162,2024-10-26 13:30:00,195463
2455140,2024-10-26 13:20:00,195425
2455120,2024-10-26 13:10:00,195518
2455080,2024-10-26 13:00:00,195536
2455060,2024-10-26 12:50:00,195138
2455040,2024-10-26 12:40:00,194505
2455020,2024-10-26 12:30:00,194766
2455002,2024-10-26 12:20:00,194610
2454980,2024-10-26 12:10:00,194385
2454940,2024-10-26 12:00:00,194176
2454920,2024-10-26 11:50:00,194058
2454900,2024-10-26 11:40:00,193742
2454880,2024-10-26 11:30:00,193481
2454862,2024-10-26 11:20:00,192477
2454840,2024-10-26 11:10:00,191418
2454800,2024-10-26 11:00:00,191012
2454780,2024-10-26 10:50:00,190491
2454762,2024-10-26 10:40:00,190486
2454742,2024-10-26 10:30:00,190310
2454722,2024-10-26 10:20:00,190703
2454700,2024-10-26 10:10:00,190825
2454660,2024-10-26 10:00:00,190442
2454640,2024-10-26 09:50:00,190415
2454620,2024-10-26 09:40:00,190038
2454600,2024-10-26 09:30:00,189936
2454580,2024-10-26 09:20:00,189880
2454560,2024-10-26 09:10:00,189835
2454520,2024-10-26 09:00:00,189480
2454502,2024-10-26 08:50:00,189905
2454482,2024-10-26 08:40:00,190301
2454462,2024-10-26 08:30:00,190613
2454442,2024-10-26 08:20:00,191254
2454420,2024-10-26 08:10:00,191779
2454380,2024-10-26 08:00:00,192184
2454362,2024-10-26 07:50:00,192881
2454340,2024-10-26 07:40:00,193876
2454320,2024-10-26 07:30:00,194387
2454302,2024-10-26 07:20:00,194628
2454282,2024-10-26 07:10:00,194540
2454240,2024-10-26 07:00:00,194277
2454222,2024-10-26 06:50:00,194057
2454202,2024-10-26 06:40:00,193804
2454182,2024-10-26 06:30:00,193478
2454160,2024-10-26 06:20:00,193287
2454140,2024-10-26 06:10:00,193356
2454100,2024-10-26 06:00:00,193261
2454080,2024-10-26 05:50:00,192973
2454060,2024-10-26 05:40:00,192367
2454042,2024-10-26 05:30:00,191684
2454022,2024-10-26 05:20:00,191348
2453997,2024-10-26 05:10:00,190606
2453960,2024-10-26 05:00:00,189860
2453940,2024-10-26 04:50:00,189649
2453920,2024-10-26 04:40:00,189364
2453900,2024-10-26 04:30:00,189229
2453880,2024-10-26 04:20:00,189152
2453860,2024-10-26 04:10:00,188101
2453820,2024-10-26 04:00:00,186615
2453802,2024-10-26 03:50:00,184255
2453780,2024-10-26 03:40:00,181968
2453757,2024-10-26 03:30:00,180144
2453737,2024-10-26 03:20:00,178662
2453720,2024-10-26 03:10:00,178122
2453680,2024-10-26 03:00:00,178205
2453660,2024-10-26 02:50:00,178062
2453640,2024-10-26 02:40:00,178084
2453622,2024-10-26 02:30:00,177967
2453600,2024-10-26 02:20:00,177185
2453580,2024-10-26 02:10:00,176437
2453540,2024-10-26 02:00:00,175594
2453520,2024-10-26 01:50:00,176559
2453500,2024-10-26 01:40:00,176085
2453480,2024-10-26 01:30:00,175438
2453460,2024-10-26 01:20:00,175715
2453440,2024-10-26 01:10:00,175582
2453400,2024-10-26 01:00:00,175075
2453380,2024-10-26 00:50:00,174361
2453360,2024-10-26 00:40:00,174163
2453340,2024-10-26 00:30:00,175116
2453320,2024-10-26 00:20:00,175813
