input_0,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,output_0,output_1,output_2,output_3,output_4,output_5,output_6,output_7,output_8,output_9,seq_id
2455220,2455200,2455180,2455162,2455140,2455120,2455080,2455060,2455040,2455020,2455220,2455200,2455180,2455162,2455140,2455120,2455080,2455060,2455040,2455020,0
2455200,2455180,2455162,2455140,2455120,2455080,2455060,2455040,2455020,2455002,2455200,2455180,2455162,2455140,2455120,2455080,2455060,2455040,2455020,2455002,0
2455180,2455162,2455140,2455120,2455080,2455060,2455040,2455020,2455002,2454980,2455180,2455162,2455140,2455120,2455080,2455060,2455040,2455020,2455002,2454980,0
2455162,2455140,2455120,2455080,2455060,2455040,2455020,2455002,2454980,2454940,2455162,2455140,2455120,2455080,2455060,2455040,2455020,2455002,2454980,2454940,0
2455140,2455120,2455080,2455060,2455040,2455020,2455002,2454980,2454940,2454920,2455140,2455120,2455080,2455060,2455040,2455020,2455002,2454980,2454940,2454920,0
2455120,2455080,2455060,2455040,2455020,2455002,2454980,2454940,2454920,2454900,2455120,2455080,2455060,2455040,2455020,2455002,2454980,2454940,2454920,2454900,0
2455080,2455060,2455040,2455020,2455002,2454980,2454940,2454920,2454900,2454880,2455080,2455060,2455040,2455020,2455002,2454980,2454940,2454920,2454900,2454880,0
2455060,2455040,2455020,2455002,2454980,2454940,2454920,2454900,2454880,2454862,2455060,2455040,2455020,2455002,2454980,2454940,2454920,2454900,2454880,2454862,0
2455040,2455020,2455002,2454980,2454940,2454920,2454900,2454880,2454862,2454840,2455040,2455020,2455002,2454980,2454940,2454920,2454900,2454880,2454862,2454840,0
2455020,2455002,2454980,2454940,2454920,2454900,2454880,2454862,2454840,2454800,2455020,2455002,2454980,2454940,2454920,2454900,2454880,2454862,2454840,2454800,0
2455002,2454980,2454940,2454920,2454900,2454880,2454862,2454840,2454800,2454780,2455002,2454980,2454940,2454920,2454900,2454880,2454862,2454840,2454800,2454780,0
2454980,2454940,2454920,2454900,2454880,2454862,2454840,2454800,2454780,2454762,2454980,2454940,2454920,2454900,2454880,2454862,2454840,2454800,2454780,2454762,0
2454940,2454920,2454900,2454880,2454862,2454840,2454800,2454780,2454762,2454742,2454940,2454920,2454900,2454880,2454862,2454840,2454800,2454780,2454762,2454742,0
2454920,2454900,2454880,2454862,2454840,2454800,2454780,2454762,2454742,2454722,2454920,2454900,2454880,2454862,2454840,2454800,2454780,2454762,2454742,2454722,0
2454900,2454880,2454862,2454840,2454800,2454780,2454762,2454742,2454722,2454700,2454900,2454880,2454862,2454840,2454800,2454780,2454762,2454742,2454722,2454700,0
