input_0,input_1,input_2,input_3,input_4,output_0,output_1,output_2,output_3,output_4,seq_id,rain_category
2449014,2448994,2448974,2448954,2448934,2448914,2448874,2448856,2448834,2448814,3,3.1
2448994,2448974,2448954,2448934,2448914,2448874,2448856,2448834,2448814,2448794,3,3.2
2448974,2448954,2448934,2448914,2448874,2448856,2448834,2448814,2448794,2448774,3,3.3
2448954,2448934,2448914,2448874,2448856,2448834,2448814,2448794,2448774,2448736,3,3.4
2448934,2448914,2448874,2448856,2448834,2448814,2448794,2448774,2448736,2448716,3,3.5
2448914,2448874,2448856,2448834,2448814,2448794,2448774,2448736,2448716,2448696,3,3.6
2448874,2448856,2448834,2448814,2448794,2448774,2448736,2448716,2448696,2448676,3,3.7
2448856,2448834,2448814,2448794,2448774,2448736,2448716,2448696,2448676,2448654,3,3.8
2448834,2448814,2448794,2448774,2448736,2448716,2448696,2448676,2448654,2448634,3,3.9
2448814,2448794,2448774,2448736,2448716,2448696,2448676,2448654,2448634,2448594,3,4.0
2448794,2448774,2448736,2448716,2448696,2448676,2448654,2448634,2448594,2448574,3,4.0
2448774,2448736,2448716,2448696,2448676,2448654,2448634,2448594,2448574,2448554,3,4.0
2448736,2448716,2448696,2448676,2448654,2448634,2448594,2448574,2448554,2448534,3,4.0
2448716,2448696,2448676,2448654,2448634,2448594,2448574,2448554,2448534,2448514,3,4.0
2448696,2448676,2448654,2448634,2448594,2448574,2448554,2448534,2448514,2448496,3,4.0
2448676,2448654,2448634,2448594,2448574,2448554,2448534,2448514,2448496,2448454,3,4.0
2448654,2448634,2448594,2448574,2448554,2448534,2448514,2448496,2448454,2448436,3,4.0
2448634,2448594,2448574,2448554,2448534,2448514,2448496,2448454,2448436,2448416,3,4.0
2448594,2448574,2448554,2448534,2448514,2448496,2448454,2448436,2448416,2448394,3,4.0
2448574,2448554,2448534,2448514,2448496,2448454,2448436,2448416,2448394,2448374,3,4.0
2448554,2448534,2448514,2448496,2448454,2448436,2448416,2448394,2448374,2448356,3,4.0
2448534,2448514,2448496,2448454,2448436,2448416,2448394,2448374,2448356,2448314,3,4.0
2448514,2448496,2448454,2448436,2448416,2448394,2448374,2448356,2448314,2448294,3,4.0
2448496,2448454,2448436,2448416,2448394,2448374,2448356,2448314,2448294,2448276,3,4.0
2448454,2448436,2448416,2448394,2448374,2448356,2448314,2448294,2448276,2448256,3,4.0
2448436,2448416,2448394,2448374,2448356,2448314,2448294,2448276,2448256,2448236,3,4.0
2448416,2448394,2448374,2448356,2448314,2448294,2448276,2448256,2448236,2448214,3,4.0
2448394,2448374,2448356,2448314,2448294,2448276,2448256,2448236,2448214,2448174,3,4.0
2448374,2448356,2448314,2448294,2448276,2448256,2448236,2448214,2448174,2448156,3,4.0
2448356,2448314,2448294,2448276,2448256,2448236,2448214,2448174,2448156,2448136,3,4.0
2448314,2448294,2448276,2448256,2448236,2448214,2448174,2448156,2448136,2448116,3,4.0
2448294,2448276,2448256,2448236,2448214,2448174,2448156,2448136,2448116,2448094,3,4.0
2448276,2448256,2448236,2448214,2448174,2448156,2448136,2448116,2448094,2448074,3,4.0
2448256,2448236,2448214,2448174,2448156,2448136,2448116,2448094,2448074,2448034,3,4.0
2448236,2448214,2448174,2448156,2448136,2448116,2448094,2448074,2448034,2448016,3,4.0
2448214,2448174,2448156,2448136,2448116,2448094,2448074,2448034,2448016,2447996,3,3.9
2448174,2448156,2448136,2448116,2448094,2448074,2448034,2448016,2447996,2447976,3,3.8
2448156,2448136,2448116,2448094,2448074,2448034,2448016,2447996,2447976,2447954,3,3.7
2448136,2448116,2448094,2448074,2448034,2448016,2447996,2447976,2447954,2447934,3,3.7
2448116,2448094,2448074,2448034,2448016,2447996,2447976,2447954,2447934,2447894,3,3.6
2448094,2448074,2448034,2448016,2447996,2447976,2447954,2447934,2447894,2447874,3,3.5
2448074,2448034,2448016,2447996,2447976,2447954,2447934,2447894,2447874,2447854,3,3.5
2448034,2448016,2447996,2447976,2447954,2447934,2447894,2447874,2447854,2447834,3,3.5
2448016,2447996,2447976,2447954,2447934,2447894,2447874,2447854,2447834,2447814,3,3.4
2447996,2447976,2447954,2447934,2447894,2447874,2447854,2447834,2447814,2447794,3,3.3
2447976,2447954,2447934,2447894,2447874,2447854,2447834,2447814,2447794,2447756,3,3.3
2447954,2447934,2447894,2447874,2447854,2447834,2447814,2447794,2447756,2447734,3,3.3
2447934,2447894,2447874,2447854,2447834,2447814,2447794,2447756,2447734,2447714,3,3.3
2447894,2447874,2447854,2447834,2447814,2447794,2447756,2447734,2447714,2447694,3,3.2
2447874,2447854,2447834,2447814,2447794,2447756,2447734,2447714,2447694,2447671,3,3.2
2447854,2447834,2447814,2447794,2447756,2447734,2447714,2447694,2447671,2447651,3,3.3
2447834,2447814,2447794,2447756,2447734,2447714,2447694,2447671,2447651,2447616,3,3.3
2447814,2447794,2447756,2447734,2447714,2447694,2447671,2447651,2447616,2447596,3,3.3
2447794,2447756,2447734,2447714,2447694,2447671,2447651,2447616,2447596,2447576,3,3.4
2447756,2447734,2447714,2447694,2447671,2447651,2447616,2447596,2447576,2447556,3,3.5
2447734,2447714,2447694,2447671,2447651,2447616,2447596,2447576,2447556,2447536,3,3.6
2447714,2447694,2447671,2447651,2447616,2447596,2447576,2447556,2447536,2447516,3,3.7
2447694,2447671,2447651,2447616,2447596,2447576,2447556,2447536,2447516,2447476,3,3.8
2447671,2447651,2447616,2447596,2447576,2447556,2447536,2447516,2447476,2447456,3,3.9
2447651,2447616,2447596,2447576,2447556,2447536,2447516,2447476,2447456,2447436,3,4.0
2447341,2447321,2447301,2447281,2447261,2447221,2447201,2447181,2447161,2447141,4,4.0
2447321,2447301,2447281,2447261,2447221,2447201,2447181,2447161,2447141,2447121,4,4.0
2447301,2447281,2447261,2447221,2447201,2447181,2447161,2447141,2447121,2447081,4,4.0
2447281,2447261,2447221,2447201,2447181,2447161,2447141,2447121,2447081,2447061,4,4.0
2447261,2447221,2447201,2447181,2447161,2447141,2447121,2447081,2447061,2447041,4,4.0
2447221,2447201,2447181,2447161,2447141,2447121,2447081,2447061,2447041,2447021,4,4.0
2447201,2447181,2447161,2447141,2447121,2447081,2447061,2447041,2447021,2447001,4,4.0
2447181,2447161,2447141,2447121,2447081,2447061,2447041,2447021,2447001,2446981,4,4.0
2447161,2447141,2447121,2447081,2447061,2447041,2447021,2447001,2446981,2446941,4,4.0
2447141,2447121,2447081,2447061,2447041,2447021,2447001,2446981,2446941,2446921,4,4.0
2447121,2447081,2447061,2447041,2447021,2447001,2446981,2446941,2446921,2446901,4,4.0
